id,filename,date,vol,no,pages,words
91282,cn1962-01-17.txt,1962-01-17,48,11,4,10935
89365,cn1939-03-08.txt,1939-03-08,25,15,6,16342
87372,cn1933-05-17.txt,1933-05-17,19,22,6,16107
90978,cn1946-10-23.txt,1946-10-23,33,4,4,8230
6505,cn1914-12-17.txt,1914-12-17,1,11,4,5384
6498,cn1914-10-22.txt,1914-10-22,1,4,4,6542
90854,cn1945-02-21.txt,1945-02-21,31,16,4,9259
86938,cn1931-12-09.txt,1931-12-09,18,8,6,14250
92139,cn1958-10-15.txt,1958-10-15,45,3,4,9488
92735,cn1968-04-05.txt,1968-04-05,54,17,8,17173
87848,cn1936-01-08.txt,1936-01-08,22,9,4,13003
87107,cn1930-10-15.txt,1930-10-15,17,2,4,12258
6663,cn1916-04-13.txt,1916-04-13,2,25,4,6773
86493,cn1925-06-03.txt,1925-06-03,11,27,8,13076
88761,cn1943-10-07.txt,1943-10-07,30,2,4,9103
7011,cn1917-11-28.txt,1917-11-28,4,9,6,10310
91966,cn1960-04-06.txt,1960-04-06,46,19,6,11820
91216,cn1954-10-13.txt,1954-10-13,41,3,6,12803
91334,cn1959-12-09.txt,1959-12-09,46,10,6,14502
92765,cn1966-04-22.txt,1966-04-22,52,20,6,14576
91131,cn1946-05-15.txt,1946-05-15,32,24,4,8676
90880,cn1948-03-11.txt,1948-03-11,34,17,6,12572
75303,cn1923-01-24.txt,1923-01-24,9,13,6,11808
7780,cn1919-05-14.txt,1919-05-14,5,28,6,11239
90736,cn1944-11-15.txt,1944-11-15,31,8,4,9937
87719,cn1936-04-29.txt,1936-04-29,22,22,6,14014
92749,cn1965-04-30.txt,1965-04-30,51,21,8,17783
92721,cn1963-11-15.txt,1963-11-15,50,8,4,8595
91752,cn1956-05-01.txt,1956-05-01,42,21,6,13550
91682,cn1959-05-06.txt,1959-05-06,45,23,4,9816
89430,cn1938-11-09.txt,1938-11-09,25,5,4,9941
92561,cn1965-03-05.txt,1965-03-05,51,15,4,9193
88644,cn1939-01-11.txt,1939-01-11,25,10,6,17626
90940,cn1954-05-12.txt,1954-05-12,40,23,6,12575
86599,cn1924-05-07.txt,1924-05-07,10,25,9,14461
86336,cn1926-05-05.txt,1926-05-05,12,24,8,14674
75282,cn1922-11-22.txt,1922-11-22,9,8,6,9751
86872,cn1934-05-02.txt,1934-05-02,20,22,8,20158
93209,cn1966-03-04.txt,1966-03-04,52,15,8,18803
